ID,Title,Keywords,FirstLevel,Processed_Title,Processed_Keyword,Processed_T_K
374,Extentions of Affine Arithmetic: Application to Unconstrained Global Optimization,"affine arithmetic,interval arithmetic,inclusion functions,global optimization,branch and bound algorithm",['G'],unconstrained global optimization,affine arithmetic,unconstrained global optimization affine arithmetic
375,Finding Plagiarisms among a Set of Programs with JPlag,"plagiarism,similarity,search,token,string tiling",['F' 'H' 'I' 'K'],finding plagiarisms,string tiling,finding plagiarisms string tiling
377,On the Simplification of HD0L Power Series,"Formal power series,Lindenmayer systems,D0L power series",['F'],hd0l power series,formal power series,hd0l power series formal power series
378,On the Semiautomatic Generation of WordNet Type Synsets and Clusters,"WordNet,e-set,synset,synset id,cluster",['J'],wordnet type synsets,synset id,wordnet type synsets synset id
380,An Architecture for a Three-Tier Path-Finder,"route finding,A* search,island search,search control rules",['I'],three-tier path-finder,search control rules,three-tier path-finder search control rules
382,The Design of an Object-based System for Representing and Classifying Spatial Structures and Relations,"Object-based knowledge representation,topological relations,classification,relation reification,landscape analysi,s",['I'],classifying spatial structures,object-based knowledge representation,classifying spatial structures object-based knowledge representation
383,Spatial-reasoning for Agents in Multiple Dimensions,"multi-dimensional spatial reasoning,reasoning with disjunction,qualitative reasoning,multi-agent reasoning",['I'],multiple dimensions,multi-dimensional spatial reasoning,multiple dimensions multi-dimensional spatial reasoning
384,Reasoning with Intervals on Granules,"time,granularity,intervals",['G' 'I'],reasoning,time,reasoning time
385,Scheduling Tasks to a Team of Autonomous Mobile Service Robots in Indoor Enviroments,"Job scheduling,autonomous mobile service robots,robot teams human machine interface (HMI),NP-hard problems,XML,telerobotics",['D' 'I'],autonomous mobile service robots,robot teams human machine interface,autonomous mobile service robots robot teams human machine interface
386,"Mental Models to Represent Dynamics - Using the Example ""factorial""","mental model,presentation of dynamics,animation",['H'],mental models,mental model,mental models mental model
387,"An Object-oriented Approach to Design, Specification, and Implementation of Hyperlink Structures Based on Usual Software Development","hypermedia,software engineering,systems development,methodologies,object-oriented languages",['D' 'I' 'K'],hyperlink structures based,software engineering,hyperlink structures based software engineering
388,The TrailTRECer Framework: Applying Open Hypermedia Concepts to Trails,"open hypermedia,trails,trail-based system,navigation support",['H'],applying open hypermedia concepts,open hypermedia,applying open hypermedia concepts open hypermedia
389,Research in Structural Computing,"structural computing,open hypermedia,hypermedia  architectures",['D' 'H'],structural computing,structural computing,structural computing structural computing
390,XML and MPEG-7 for Interactive Annotation and Retrieval using Semantic Meta-data,"MPEG-7,content-based Multimedia Retrieval,Hypermedia systems,Web-based services,XML,Semantic Web,Multimedia",['H'],interactive annotation,content-based multimedia retrieval,interactive annotation content-based multimedia retrieval
391,Design for All as a Challenge for Hypermedia Engineering,"hypermedia engineering,functional programming,design techniques",['D' 'H'],hypermedia engineering,hypermedia engineering,hypermedia engineering hypermedia engineering
392,Components of a Model of Context-Sensitive Hypertexts,"hypertext authoring,context modelling,coherence relations,systemic functional linguistics",['H' 'I'],context-sensitive hypertexts,systemic functional linguistics,context-sensitive hypertexts systemic functional linguistics
393,Software for a Multimedia Encyclopedia,"information retrieval,software development,natural language processing",['H'],multimedia encyclopedia,natural language processing,multimedia encyclopedia natural language processing
395,Towards an XML-based Implementation of Structured Hypermedia Documents,"hypermedia,document structuring,XML-based document notation",['H'],structured hypermedia documents,xml-based document notation,structured hypermedia documents xml-based document notation
396,HWOES: A Hyperwave Online Employment Service,"e-commerce,online employment services,interactive negotiations",['J'],hyperwave online employment service,online employment services,hyperwave online employment service online employment services
397,Modelling Agents as Observable Sources,"multi-agent systems,coordination patterns,formal models",['D' 'F' 'I'],modelling agents,multi-agent systems,modelling agents multi-agent systems
